epoch,test_acc_before_rounding,test_acc,val_acc,train_acc,regularization_loss,model_sparsity
0,18.44,18.44,18.44,14.595555553860134,8.829939842224121,49.63329556973347
1,23.51,23.51,23.51,20.057777776760524,8.707144737243652,49.26249180132371
2,25.46,25.46,25.46,23.942222219848635,8.586141586303711,48.92411007095582
3,25.93,25.93,25.93,25.542222219848632,8.466885566711426,48.56746765249538
4,28.84,28.84,28.84,26.691111110093857,8.349414825439453,48.2115705682428
5,30.02,30.02,30.02,28.268888888549803,8.233787536621094,47.86946216683561
6,30.59,30.59,30.59,29.864444440375433,8.11992359161377,47.49381372607477
7,30.2,30.2,30.2,30.88222222222222,8.007810592651367,47.12412795897681
8,30.85,30.85,30.85,31.213333331298827,7.897462368011475,46.75220618925526
9,32.38,32.38,32.38,31.797777777777778,7.788885593414307,46.363514399856896
10,32.86,32.86,32.86,32.79333332994249,7.681988716125488,45.99830063800608
11,33.59,33.59,33.59,33.555555554199216,7.576894283294678,45.629732872219904
12,34.69,34.69,34.69,33.851111110432946,7.473503589630127,45.265637111680874
13,32.28,32.28,32.28,34.324444442070856,7.371770858764648,44.88328066304931
14,32.3,32.3,32.3,34.87111110839844,7.271681785583496,44.48527219605271
15,35.36,35.36,35.36,34.939999998643664,7.173245906829834,44.12341243813726
16,35.99,35.99,35.99,35.502222220526804,7.076573371887207,43.7309939776996
17,36.46,36.46,36.46,35.87333332926432,6.981597423553467,43.34751952775625
18,33.82,33.82,33.82,36.56444443969727,6.888309955596924,42.96441774491682
19,38.87,38.87,38.87,37.0999999979655,6.796602249145508,42.563800608192714
20,36.6,36.6,36.6,37.62222222222222,6.706517219543457,42.18479816349651
21,40.18,40.18,40.18,37.66444443969726,6.618148326873779,41.77374634786238
22,39.65,39.65,39.65,37.74,6.531332492828369,41.38430922425616
23,39.46,39.46,39.46,38.23111111043294,6.446055889129639,41.00493411245603
24,38.88,38.88,38.88,38.56888888346354,6.362244129180908,40.595000298133684
25,39.13,39.13,39.13,38.74444443969727,6.279932498931885,40.202954504799955
26,38.77,38.77,38.77,39.3577777730306,6.199345111846924,39.806809373323
27,39.67,39.67,39.67,39.493333331977,6.120250225067139,39.41439091288534
28,41.06,41.06,41.06,40.255555551486545,6.042703151702881,39.03687913660485
29,42.41,42.41,42.41,40.78222222120497,5.966639041900635,38.63141732752966
30,38.14,38.14,38.14,41.533333331977,5.892020225524902,38.2300548565977
31,41.11,41.11,41.11,41.97111110772027,5.818968772888184,37.83689106195218
32,41.85,41.85,41.85,42.37777777777778,5.747344970703125,37.43888259495558
33,41.19,41.19,41.19,43.16888888888889,5.677175045013428,37.036029455607895
34,41.57,41.57,41.57,43.19777777235243,5.608314514160156,36.64174765965059
35,44.17,44.17,44.17,43.813333329264324,5.540859699249268,36.255291872875794
36,42.27,42.27,42.27,43.913333332655164,5.474891662597656,35.85691073877527
37,44.39,44.39,44.39,44.399999998643665,5.410287857055664,35.476417625663345
38,44.17,44.17,44.17,45.093333331977,5.346927165985107,35.07207381789995
39,42.05,42.05,42.05,45.33999999525282,5.284923553466797,34.67555601931906
40,46.17,46.17,46.17,46.39777777642144,5.224210739135742,34.295808240415
41,45.73,45.73,45.73,46.87777777642144,5.164812088012695,33.89258243396339
42,46.52,46.52,46.52,46.62222222154406,5.10670280456543,33.507617315604314
43,46.29,46.29,46.29,47.213333331977,5.049775123596191,33.13308687615527
44,45.3,45.3,45.3,47.362222218153214,4.994020938873291,32.7507304275237
45,38.52,38.52,38.52,48.0466666659885,4.939465045928955,32.35383996183889
46,45.8,45.8,45.8,48.19555555080838,4.886181831359863,31.98415419474092
47,42.59,42.59,42.59,47.906666665988496,4.834012985229492,31.620058434201898
48,44.88,44.88,44.88,48.5977777730306,4.782943248748779,31.242173990817484
49,48.32,48.32,48.32,49.19999999932183,4.733077049255371,30.89484824995528
50,47.01,47.01,47.01,49.65111110772027,4.684325695037842,30.522553813129807
51,49.36,49.36,49.36,49.85333333129883,4.636692047119141,30.151750044720053
52,47.8,47.8,47.8,49.9577777730306,4.590117931365967,29.795480293363543
53,47.92,47.92,47.92,50.36666666666667,4.544567584991455,29.426539860473437
54,41.98,41.98,41.98,50.73333332994249,4.5000505447387695,29.061326098622622
55,49.24,49.24,49.24,50.94666666395399,4.45658540725708,28.705056347266115
56,45.43,45.43,45.43,51.30666666124132,4.414217472076416,28.350649931429253
57,49.84,49.84,49.84,51.802222220187716,4.372786045074463,27.988790173513802
58,47.75,47.75,47.75,51.68888888821072,4.332394599914551,27.63550175898873
59,47.7,47.7,47.7,51.94222221747504,4.292974472045898,27.28109534315187
60,42.65,42.65,42.65,52.10444444444445,4.254516124725342,26.940104943056465
61,47.73,47.73,47.73,52.062222217475046,4.21707820892334,26.6147665613261
62,46.23,46.23,46.23,52.71555555352105,4.180507659912109,26.28868284538787
63,49.78,49.78,49.78,52.522222221544055,4.144814968109131,25.956636455786775
64,44.97,44.97,44.97,52.70222221815321,4.110021591186523,25.639124083238926
65,51.23,51.23,51.23,52.99111110636393,4.076058864593506,25.307077693637826
66,48.68,48.68,48.68,53.38444444037543,4.042978286743164,24.986211317154613
67,50.11,50.11,50.11,54.097777774386934,4.010725021362305,24.676897620893207
68,47.21,47.21,47.21,53.89333333129883,3.979276418685913,24.392552620595076
69,52.39,52.39,52.39,54.28888888549805,3.9486191272735596,24.082866257229743
70,51.45,51.45,51.45,54.2488888821072,3.91878342628479,23.788831912229444
71,46.72,46.72,46.72,54.29777777438694,3.889817953109741,23.495542901437005
72,53.59,53.59,53.59,54.28666666531033,3.8615663051605225,23.21045256693101
73,54.59,54.59,54.59,54.32888888414171,3.8340542316436768,22.929461570568243
74,52.52,52.52,52.52,54.775555555555556,3.8072447776794434,22.630955220320793
75,46.01,46.01,46.01,54.6377777750651,3.7811927795410156,22.354063562101246
76,50.3,50.3,50.3,55.03999999932183,3.755896806716919,22.086861248583865
77,52.07,52.07,52.07,55.46222222154405,3.7313408851623535,21.808106254844674
78,54.77,54.77,54.77,55.22222222018772,3.707440137863159,21.54872995050981
79,49.73,49.73,49.73,56.00888888346354,3.6842093467712402,21.28786297775923
80,55.81,55.81,55.81,55.824444443766275,3.6616291999816895,21.04898336414048
81,56.19,56.19,56.19,55.91999999525282,3.639737367630005,20.81271242024924
82,51.35,51.35,51.35,55.96666666531033,3.6184964179992676,20.572342138214776
83,53.97,53.97,53.97,55.877777773708765,3.5978808403015137,20.327499850933158
84,51.57,51.57,51.57,56.2244444410536,3.5779104232788086,20.106135591199095
85,48.96,48.96,48.96,56.55111110432943,3.5585319995880127,19.873591318347145
86,52.25,52.25,52.25,56.47999999796549,3.5397865772247314,19.652227058613082
87,51.39,51.39,51.39,56.45555555216471,3.521636724472046,19.431235465982947
88,55.61,55.61,55.61,56.47555555148654,3.5040619373321533,19.23633057062787
89,50.04,50.04,50.04,56.735555554199216,3.487032651901245,19.029127660843123
90,55.75,55.75,55.75,57.15111110839844,3.4705843925476074,18.83049609444875
91,41.67,41.67,41.67,57.03999999525282,3.4547085762023926,18.640063204340827
92,46.2,46.2,46.2,57.16444444240994,3.4393608570098877,18.43919563532288
93,53.49,53.49,53.49,57.14888888414171,3.4245498180389404,18.266650766203565
94,48.58,48.58,48.58,56.882222216118706,3.4102373123168945,18.093733229980323
95,46.75,46.75,46.75,57.3444444390191,3.396434783935547,17.926033033212093
96,55.95,55.95,55.95,57.76666666395399,3.3831193447113037,17.77212151928925
97,49.34,49.34,49.34,57.55111110839844,3.370304584503174,17.617837338262476
98,56.28,56.28,56.28,57.85333333062066,3.3579511642456055,17.470633832210364
99,57.11,57.11,57.11,57.55111110636393,3.3460659980773926,17.308150974897146
100,55.89,55.89,55.89,57.606666663953995,3.3346378803253174,17.174736151690418
101,54.64,54.64,54.64,58.131111108398436,3.3236687183380127,17.046166000834774
102,55.62,55.62,55.62,57.83777777167426,3.31313157081604,16.914987180251625
103,54.51,54.51,54.51,57.59333333468967,3.3030307292938232,16.784926360980265
104,49.24,49.24,49.24,57.77555555013021,3.2933568954467773,16.662318883787492
105,49.76,49.76,49.76,58.23555555148655,3.284095287322998,16.53747540397114
106,56.18,56.18,56.18,58.09555555080838,3.2752227783203125,16.42530260568839
107,52.99,52.99,52.99,58.51111110772027,3.266740322113037,16.309403136366345
108,52.66,52.66,52.66,58.17999999593099,3.258638858795166,16.199839007811104
109,55.09,55.09,55.09,58.41777777167426,3.2509188652038574,16.095119551606942
110,53.36,53.36,53.36,58.40666666191949,3.243565082550049,15.99599010196172
111,56.1,56.1,56.1,58.72666666395399,3.236558675765991,15.892388647069346
112,54.22,54.22,54.22,58.28888888685438,3.229907512664795,15.805929878957725
113,52.33,52.33,52.33,58.488888882107204,3.22359561920166,15.713135770079303
114,50.65,50.65,50.65,58.64444444240994,3.2176194190979004,15.637111680877705
115,47.08,47.08,47.08,59.07333332655165,3.2119669914245605,15.558106254844672
116,57.09,57.09,57.09,58.61333332858615,3.206615447998047,15.49102617613738
117,55.76,55.76,55.76,58.657777779134115,3.201568841934204,15.4164927553515
118,49.77,49.77,49.77,58.83999999728733,3.196819543838501,15.35388468189136
119,53.42,53.42,53.42,58.73333333062066,3.192361831665039,15.302456621549103
120,57.39,57.39,57.39,58.691111106363934,3.188185453414917,14.871653449406715
121,57.02,57.02,57.02,55.135555554877385,3.1841206550598145,14.85562876393775
122,55.52,55.52,55.52,56.62222221815321,3.180373191833496,14.845194085027726
123,53.37,53.37,53.37,57.05333332994249,3.1768972873687744,14.83140540218234
124,58.27,58.27,58.27,57.55555555216471,3.1736769676208496,14.814635382505516
125,56.58,56.58,56.58,57.53333333129883,3.1707041263580322,13.736509450837756
126,52.81,52.81,52.81,50.395555550808375,3.1679046154022217,13.732037445590603
127,55.89,55.89,55.89,53.2444444390191,3.16532039642334,13.722720767992367
128,55.4,55.4,55.4,55.01111110772027,3.162973165512085,13.718994096953073
129,56.95,56.95,56.95,55.58666666124132,3.160839080810547,13.713404090394132
130,53.86,53.86,53.86,56.0688888821072,3.158912420272827,12.687824220380419
131,40.24,40.24,40.24,37.70666666124132,3.1570165157318115,12.684097549341125
132,45.71,45.71,45.71,43.05999999932183,3.1553735733032227,12.675898873054678
133,47.83,47.83,47.83,46.69999999864366,3.153930902481079,12.66881819808002
134,47.73,47.73,47.73,48.246666663953995,3.152660608291626,12.663228191521078
135,48.48,48.48,48.48,49.391111110432945,3.1515517234802246,11.719262417267903
136,26.37,26.37,26.37,22.94444444308811,3.150458812713623,11.718144415956115
137,29.42,29.42,29.42,25.453333331976996,3.149533987045288,11.715163079124679
138,30.79,30.79,30.79,27.959999997287326,3.1487534046173096,11.71404507781289
139,34.55,34.55,34.55,30.48222221950955,3.148123264312744,11.709200405461809
140,34.78,34.78,34.78,32.77111110568576,3.1476047039031982,10.82448870073341
141,33.96,33.96,33.96,34.962222217475045,3.1471657752990723,10.82448870073341
142,34.19,34.19,34.19,34.779999998982746,3.1468379497528076,10.82448870073341
143,34.08,34.08,34.08,34.908888887532555,3.1465775966644287,10.82448870073341
144,33.82,33.82,33.82,34.73777777235243,3.14638614654541,10.82448870073341
145,33.9,33.9,33.9,35.066666664971244,3.146242141723633,9.997913064217995
146,41.67,41.67,41.67,40.96888888685439,3.146176815032959,9.997913064217995
147,41.54,41.54,41.54,40.724444443766274,3.1461637020111084,9.997913064217995
148,41.6,41.6,41.6,40.93333332994249,3.1461596488952637,9.997913064217995
149,41.46,41.46,41.46,40.759999994574656,3.1461594104766846,9.997913064217995
149,-1.0,10.0,9.66,10.03777777709961,0.0,9.997913064217995
150,-1.0,39.85,38.36,31.95999999593099,0.0,9.997913064217995
151,-1.0,44.5,43.96,41.46888888617622,0.0,9.997913064217995
152,-1.0,46.13,45.06,45.31999999864367,0.0,9.997913064217995
153,-1.0,48.85,47.9,47.45555555148655,0.0,9.997913064217995
154,-1.0,49.92,49.82,48.93999999525282,0.0,9.997913064217995
155,-1.0,51.41,51.64,50.202222216796876,0.0,9.997913064217995
156,-1.0,51.34,50.68,51.49111110636393,0.0,9.997913064217995
157,-1.0,53.01,51.7,52.34888888549805,0.0,9.997913064217995
158,-1.0,52.8,51.24,53.224444439697265,0.0,9.997913064217995
159,-1.0,55.05,54.12,53.666666662597656,0.0,9.997913064217995
160,-1.0,55.26,54.62,54.22444444240994,0.0,9.997913064217995
161,-1.0,56.39,54.84,54.75111110772027,0.0,9.997913064217995
162,-1.0,55.56,54.14,55.51111110839844,0.0,9.997913064217995
